Referrer Zip Code,Days between Records Requested and Received Median,Days between Records Requested and Received Q1,Days between Records Requested and Received Q3,Days between Records Requested and Received Iqr,Days between Films Requested and Received Median,Days between Films Requested and Received Q1,Days between Films Requested and Received Q3,Days between Films Requested and Received Iqr,Days between Initial Contact and IV Median,Days between Initial Contact and IV Q1,Days between Initial Contact and IV Q3,Days between Initial Contact and IV Iqr,Days between Initial Contact and Surgery Median,Days between Initial Contact and Surgery Q1,Days between Initial Contact and Surgery Q3,Days between Initial Contact and Surgery Iqr,Number of Records
26757,3.0,3.0,3.0,0.0,6.0,6.0,6.0,0.0,41.0,41.0,41.0,0.0,,,,,2
21117,10.5,5.25,15.75,10.5,35.5,28.25,42.75,14.5,,,,,,,,,2
22042,16.0,10.0,22.0,12.0,16.0,10.0,22.0,12.0,43.5,27.75,59.25,31.5,,,,,2
23168,1.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,43.0,37.5,48.5,11.0,,,,,2
24465,1.0,1.0,1.0,0.0,,,,,56.0,56.0,56.0,0.0,,,,,2
24471,1.0,1.0,1.0,0.0,,,,,37.0,37.0,37.0,0.0,,,,,2
24473,,,,,8.0,8.0,8.0,0.0,23.0,23.0,23.0,0.0,,,,,2
20895,4.0,2.5,5.5,3.0,8.5,7.75,9.25,1.5,49.0,38.0,60.0,22.0,50.0,39.0,61.0,22.0,2
21001,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,48.0,48.0,48.0,0.0,,,,,2
26003,1.0,1.0,1.0,0.0,5.0,5.0,5.0,0.0,27.0,19.5,34.5,15.0,,,,,2
27106,13.0,12.5,13.5,1.0,12.0,12.0,12.0,0.0,76.0,76.0,76.0,0.0,77.0,77.0,77.0,0.0,2
70458,,,,,,,,,,,,,,,,,2
67530,7.0,4.0,10.0,6.0,3.5,2.25,4.75,2.5,,,,,,,,,2
08065,37.5,36.75,38.25,1.5,37.5,36.75,38.25,1.5,272.0,223.5,320.5,97.0,,,,,2
24092,,,,,,,,,,,,,,,,,2
10021,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,85.0,85.0,85.0,0.0,,,,,2
08088,7.0,7.0,7.0,0.0,,,,,5.0,5.0,5.0,0.0,,,,,2
07090,4.0,3.0,5.0,2.0,10.0,8.5,11.5,3.0,75.0,75.0,75.0,0.0,76.0,76.0,76.0,0.0,2
24124,4.5,3.25,5.75,2.5,4.5,3.25,5.75,2.5,22.0,22.0,22.0,0.0,,,,,2
23883,1.0,1.0,1.0,0.0,18.0,9.5,26.5,17.0,64.0,64.0,64.0,0.0,,,,,2
23502,23.0,23.0,23.0,0.0,37.0,20.0,54.0,34.0,91.5,62.75,120.25,57.5,,,,,2
23507,1.0,1.0,1.0,0.0,,,,,,,,,,,,,2
39042,3.0,3.0,3.0,0.0,14.0,14.0,14.0,0.0,58.0,58.0,58.0,0.0,,,,,2
70808,6.5,4.25,8.75,4.5,6.5,4.25,8.75,4.5,82.0,82.0,82.0,0.0,,,,,2
24054,,,,,,,,,1103.0,1103.0,1103.0,0.0,,,,,2
80525,,,,,,,,,15.0,15.0,15.0,0.0,16.0,16.0,16.0,0.0,2
70471,8.5,6.75,10.25,3.5,13.5,9.25,17.75,8.5,77.0,77.0,77.0,0.0,78.0,78.0,78.0,0.0,2
30092,,,,,7.0,7.0,7.0,0.0,62.0,62.0,62.0,0.0,,,,,2
30152,2.0,2.0,2.0,0.0,,,,,,,,,,,,,2
29501,15.0,15.0,15.0,0.0,10.5,8.25,12.75,4.5,58.0,58.0,58.0,0.0,,,,,2
29526,2.0,2.0,2.0,0.0,,,,,,,,,,,,,2
29577,3.5,3.25,3.75,0.5,7.0,5.0,9.0,4.0,98.5,74.75,122.25,47.5,52.0,52.0,52.0,0.0,2
29579,,,,,11.0,11.0,11.0,0.0,2673.0,2673.0,2673.0,0.0,,,,,2
23851,,,,,,,,,6.0,6.0,6.0,0.0,,,,,2
23874,3.0,3.0,3.0,0.0,12.0,12.0,12.0,0.0,97.0,97.0,97.0,0.0,,,,,2
20852,10.0,10.0,10.0,0.0,8.5,7.75,9.25,1.5,33.5,29.75,37.25,7.5,31.0,31.0,31.0,0.0,2
20871,0.0,0.0,0.0,0.0,,,,,8.0,8.0,8.0,0.0,,,,,2
30328,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,64.0,64.0,64.0,0.0,,,,,2
30022,4.5,4.25,4.75,0.5,4.5,4.25,4.75,0.5,71.0,60.0,82.0,22.0,,,,,2
31210,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,19.0,19.0,19.0,0.0,,,,,2
30067,14.5,14.25,14.75,0.5,7.0,7.0,7.0,0.0,,,,,,,,,2
30045,,,,,11.0,11.0,11.0,0.0,37.0,37.0,37.0,0.0,38.0,38.0,38.0,0.0,2
30075,12.5,9.25,15.75,6.5,12.5,9.25,15.75,6.5,59.0,56.5,61.5,5.0,61.0,58.0,64.0,6.0,2
27560,5.5,4.25,6.75,2.5,5.5,4.25,6.75,2.5,9.0,9.0,9.0,0.0,,,,,2
27608,1.0,1.0,1.0,0.0,7.0,7.0,7.0,0.0,48.0,48.0,48.0,0.0,,,,,2
27612,15.0,15.0,15.0,0.0,15.0,15.0,15.0,0.0,51.0,51.0,51.0,0.0,,,,,2
27615,9.0,9.0,9.0,0.0,,,,,,,,,,,,,2
27707,5.5,3.25,7.75,4.5,10.0,10.0,10.0,0.0,41.0,41.0,41.0,0.0,,,,,2
27803,11.0,11.0,11.0,0.0,11.0,11.0,11.0,0.0,25.0,25.0,25.0,0.0,,,,,2
27858,19.0,19.0,19.0,0.0,10.5,6.25,14.75,8.5,,,,,,,,,2
20772,21.0,21.0,21.0,0.0,,,,,,,,,76.0,76.0,76.0,0.0,2
27514,9.0,9.0,9.0,0.0,12.0,12.0,12.0,0.0,352.0,197.0,507.0,310.0,,,,,2
27515,14.0,14.0,14.0,0.0,14.0,14.0,14.0,0.0,,,,,,,,,2
22663,1.5,0.75,2.25,1.5,3.0,3.0,3.0,0.0,59.0,51.0,67.0,16.0,,,,,2
22311,164.5,82.75,246.25,163.5,328.0,328.0,328.0,0.0,225.0,148.0,302.0,154.0,,,,,2
22427,7.0,7.0,7.0,0.0,1.0,1.0,1.0,0.0,44.0,44.0,44.0,0.0,,,,,2
24579,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,13.0,13.0,13.0,0.0,,,,,2
28081,5.5,4.25,6.75,2.5,5.5,4.25,6.75,2.5,36.0,36.0,36.0,0.0,,,,,2
28098,1.0,1.0,1.0,0.0,6.0,6.0,6.0,0.0,,,,,,,,,2
37830,,,,,,,,,,,,,,,,,2
37221,28.0,28.0,28.0,0.0,77.0,77.0,77.0,0.0,29.0,29.0,29.0,0.0,52.0,52.0,52.0,0.0,2
36608,0.0,0.0,0.0,0.0,13.0,13.0,13.0,0.0,28.0,28.0,28.0,0.0,,,,,2
37072,38.0,38.0,38.0,0.0,11.0,11.0,11.0,0.0,90.0,90.0,90.0,0.0,,,,,2
37122,,,,,,,,,22.0,22.0,22.0,0.0,,,,,2
24347,,,,,11.0,11.0,11.0,0.0,48.0,48.0,48.0,0.0,,,,,2
24370,1.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,18.0,18.0,18.0,0.0,28.0,28.0,28.0,0.0,2
24375,3.0,2.5,3.5,1.0,7.0,7.0,7.0,0.0,49.0,35.5,62.5,27.0,23.0,23.0,23.0,0.0,2
37932,11.0,11.0,11.0,0.0,9.0,8.0,10.0,2.0,35.5,34.75,36.25,1.5,36.5,35.75,37.25,1.5,2
37934,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,52.5,46.25,58.75,12.5,66.0,66.0,66.0,0.0,2
38501,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,34.0,34.0,34.0,0.0,36.0,36.0,36.0,0.0,2
17057,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,,,,,,,,,2
14226,15.0,15.0,15.0,0.0,15.0,15.0,15.0,0.0,65.0,65.0,65.0,0.0,,,,,2
37663,0.5,0.25,0.75,0.5,,,,,43.0,43.0,43.0,0.0,46.0,46.0,46.0,0.0,2
37686,1.0,1.0,1.0,0.0,8.0,8.0,8.0,0.0,42.0,42.0,42.0,0.0,43.0,43.0,43.0,0.0,2
37745,2.0,2.0,2.0,0.0,11.0,7.0,15.0,8.0,57.0,57.0,57.0,0.0,,,,,2
07885,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,57.0,57.0,57.0,0.0,,,,,1
01876,,,,,,,,,,,,,,,,,1
01900,,,,,,,,,13.0,13.0,13.0,0.0,,,,,1
01921,,,,,,,,,,,,,,,,,1
01930,,,,,,,,,,,,,,,,,1
02054,,,,,,,,,,,,,,,,,1
02127,10.0,10.0,10.0,0.0,3.0,3.0,3.0,0.0,,,,,,,,,1
02189,,,,,,,,,211.0,211.0,211.0,0.0,,,,,1
02631,,,,,,,,,,,,,,,,,1
02888,,,,,5.0,5.0,5.0,0.0,,,,,,,,,1
03301,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,26.0,26.0,26.0,0.0,,,,,1
03886,51.0,51.0,51.0,0.0,125.0,125.0,125.0,0.0,,,,,,,,,1
04210,43.0,43.0,43.0,0.0,43.0,43.0,43.0,0.0,,,,,,,,,1
04351,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,119.0,119.0,119.0,0.0,120.0,120.0,120.0,0.0,1
05055,,,,,,,,,,,,,,,,,1
06019,43.0,43.0,43.0,0.0,43.0,43.0,43.0,0.0,,,,,,,,,1
06795,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,,,,,,,,,1
06820,,,,,2.0,2.0,2.0,0.0,36.0,36.0,36.0,0.0,37.0,37.0,37.0,0.0,1
06824,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,14.0,14.0,14.0,0.0,15.0,15.0,15.0,0.0,1
71106,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,26.0,26.0,26.0,0.0,27.0,27.0,27.0,0.0,1
71111,7.0,7.0,7.0,0.0,4.0,4.0,4.0,0.0,34.0,34.0,34.0,0.0,35.0,35.0,35.0,0.0,1
